dim1,dim2,value,winning_bid
14.0,11.0,500.0,200
6.0,6.0,325.0,325
6.0,8.0,260.0,125
6.0,8.0,350.0,195
6.0,8.0,350.0,160
6.0,6.0,250.0,230
16.0,20.0,450.0,250
16.0,12.0,299.0,120
11.0,7.0,300.0,300
9.0,12.0,1200.0,650
11.0,14.0,700.0,625
6.0,6.0,350.0,150
16.0,12.0,1700.0,2850
8.0,10.0,300.0,150
9.0,12.0,900.0,600
4.0,6.0,100.0,120
12.0,16.0,100.0,100
16.0,20.0,400.0,225
12.0,24.0,2950.0,3500
16.0,12.0,350.0,295
11.0,15.0,350.0,225
12.0,9.0,500.0,250
17.0,24.0,50.0,60
12.0,32.0,500.0,250
12.0,12.0,450.0,350
8.0,10.0,200.0,355
10.0,12.0,1100.0,425
16.0,20.0,700.0,300
11.0,14.0,895.0,300
14.0,16.0,1400.0,1680
9.0,12.0,250.0,200
16.5,11.67,350.0,285
8.0,13.0,500.0,300
14.0,11.0,1295.0,400
12.0,9.0,250.0,200
9.0,12.0,625.0,140
9.0,12.0,850.0,1300
14.0,18.0,3250.0,2250
8.0,10.0,800.0,356
8.0,8.0,950.0,1140
8.0,16.0,500.0,400
22.0,28.0,1250.0,300
10.0,14.0,350.0,150
20.0,20.0,400.0,100
11.0,14.0,125.0,100
9.0,12.0,800.0,500
11.0,14.0,300.0,100
11.0,14.0,700.0,390
9.0,12.0,385.0,200
11.0,14.0,750.0,500
6.0,12.0,1300.0,1250
12.0,16.0,300.0,125
18.0,24.0,500.0,1550
8.0,11.0,400.0,200
9.0,12.0,350.0,350
8.0,10.0,400.0,275
9.0,12.0,150.0,135
16.0,20.0,1500.0,300
6.0,6.0,275.0,325
8.0,8.0,1800.0,1400
12.0,12.0,575.0,575
8.0,8.0,700.0,700
19.0,20.0,1200.0,425
24.0,18.0,450.0,180
16.0,12.0,1000.0,3978
11.0,16.0,1200.0,200
18.0,24.0,1700.0,250
6.0,8.0,250.0,600
16.0,11.0,1200.0,1050
16.0,12.0,2500.0,750
12.0,9.0,2350.0,2820
16.0,20.0,440.0,400
16.0,12.0,2750.0,2025
36.0,24.0,400.0,485
11.0,14.0,1300.0,1200
5.5,7.5,500.0,775
10.0,10.0,154.0,110
9.0,12.0,150.0,130
18.0,24.0,4000.0,400
8.0,10.0,400.0,1500
11.0,15.0,1300.0,275
14.0,14.0,1600.0,925
8.0,10.0,250.0,100
4.0,6.0,150.0,325
9.0,12.0,750.0,325
9.0,12.0,850.0,1250
16.0,20.0,800.0,800
20.0,20.0,3000.0,3100
16.0,12.0,1800.0,375
12.0,16.0,2100.0,2550
14.0,18.0,650.0,500
9.0,12.0,850.0,355
7.0,9.0,100.0,120
16.0,20.0,250.0,306
12.0,9.0,700.0,350
8.0,10.0,400.0,350
9.0,12.0,400.0,100
12.0,16.0,3000.0,1250
16.0,16.0,800.0,200
9.0,12.0,1200.0,1000
16.0,16.0,400.0,100
6.0,6.0,350.0,120
16.0,16.0,300.0,190
11.0,14.0,750.0,500
11.0,14.0,500.0,120
9.0,12.0,950.0,1140
12.0,9.0,450.0,540
12.0,16.0,1800.0,932
6.0,6.0,100.0,100
10.0,8.0,1600.0,875
6.0,9.0,500.0,325
5.0,7.0,145.0,100
12.0,16.0,895.0,350
11.0,14.0,300.0,360
12.0,9.0,400.0,900
12.0,16.0,1500.0,1000
9.0,12.0,450.0,305
12.0,12.0,775.0,500
11.0,14.0,200.0,100
14.0,20.0,560.0,300
8.0,10.0,450.0,250
8.0,8.0,200.0,125
10.0,8.0,350.0,100
16.0,20.0,3000.0,3600
11.0,14.0,1250.0,625
7.0,9.0,700.0,250
12.0,16.0,1350.0,712
5.0,7.0,300.0,350
12.0,12.0,1800.0,850
8.0,8.0,325.0,120
10.0,14.0,1200.0,625
13.0,27.0,700.0,1200
12.0,16.0,1900.0,1900
16.0,20.0,1200.0,500
10.0,10.0,350.0,200
8.0,8.0,475.0,375
11.0,14.0,850.0,250
8.0,10.0,850.0,200
11.0,14.0,400.0,100
13.0,21.0,1300.0,800
22.0,17.0,500.0,150
9.0,12.0,300.0,275
16.0,20.0,400.0,425
20.0,25.0,175.0,100
8.0,10.0,800.0,1300
8.0,8.0,700.0,575
12.0,36.0,1600.0,425
16.0,20.0,300.0,100
9.0,12.0,1600.0,600
11.0,13.0,500.0,755
11.0,14.0,1200.0,600
12.0,12.0,600.0,720
11.0,14.0,2200.0,400
12.0,9.0,450.0,450
20.0,14.0,7500.0,1450
6.0,6.0,150.0,275
4.0,6.0,1000.0,1250
8.0,10.0,400.0,120
14.0,11.0,350.0,250
8.0,10.0,500.0,300
9.0,12.0,2800.0,1500
16.0,20.0,3000.0,2150
10.0,7.75,400.0,480
12.0,9.0,610.0,150
9.0,12.0,1100.0,300
14.0,11.0,300.0,200
17.0,61.0,325.0,425
11.0,14.0,4800.0,4100
9.0,12.0,750.0,390
14.0,9.0,3300.0,1050
12.0,14.0,400.0,195
9.0,14.0,1000.0,1200
20.0,20.0,4100.0,4050
4.0,6.0,1000.0,600
6.0,6.0,350.0,100
12.0,12.0,1100.0,550
12.0,16.0,1200.0,1850
27.5,22.5,1100.0,250
9.0,12.0,300.0,100
10.0,10.0,380.0,120
6.0,8.0,575.0,160
9.0,12.0,900.0,500
9.0,12.0,500.0,275
24.0,30.0,1600.0,390
6.0,6.0,350.0,100
6.0,8.0,875.0,1150
12.0,16.0,575.0,200
36.0,24.0,1200.0,400
8.0,8.0,600.0,405
12.0,9.0,625.0,412
9.0,12.0,550.0,300
14.0,11.0,500.0,350
11.0,14.0,1200.0,950
12.0,9.0,900.0,300
10.0,13.0,500.0,200
8.0,10.0,1000.0,675
7.0,10.0,200.0,100
12.5,15.5,200.0,150
11.0,14.0,850.0,460
9.0,12.0,200.0,150
16.0,22.0,2500.0,1050
8.0,10.0,250.0,100
8.0,8.0,300.0,200
8.0,12.0,800.0,850
11.0,14.0,150.0,100
12.0,16.0,450.0,225
16.0,20.0,2000.0,700
6.0,8.0,825.0,380
11.0,14.0,1800.0,425
8.0,10.0,300.0,140
11.0,14.0,450.0,225
10.0,8.0,430.0,256
8.0,16.0,1450.0,675
8.0,10.0,650.0,500
14.0,11.0,175.0,250
12.0,16.0,1800.0,875
18.0,36.0,920.0,655
5.0,7.0,800.0,275
9.0,12.0,950.0,806
10.0,14.0,250.0,275
10.0,10.0,650.0,400
6.0,8.0,350.0,170
22.0,15.0,595.0,714
15.0,30.0,2000.0,300
14.0,18.0,995.0,495
5.0,7.0,400.0,480
8.0,10.0,450.0,325
12.0,9.0,450.0,225
7.0,9.5,700.0,150
11.0,8.0,500.0,500
16.0,20.0,500.0,160
15.5,13.5,12000.0,6650
14.0,17.0,275.0,275
18.0,18.0,400.0,200
